subj,time_pressure,model,ll,mape,mae,mse
s209,50,gcm,-8.30832215685818,40400676381846.2,0.266911228262489,0.128437527874943
s209,50,gcm_disc,-10.1238409185578,65762511376136.2,0.313582834400511,0.147369396371198
s209,50,gcm_disc_unidim,-14.8378477278224,70886637996991,0.370030696669228,0.226919267026794
s209,50,gcm_unidim,-16.2782654997103,53644308082946.8,0.394504004540768,0.25877102809357
s209,none,gcm,-12.4929548190851,2.11370692768993,0.366004814431556,0.167337765095788
s209,none,gcm_disc,-11.8615424327243,2.3268149257618,0.3306607563222,0.155536228388823
s209,none,gcm_disc_unidim,-12.6218599759194,2.50495338499212,0.310794610608695,0.16897863796345
s209,none,gcm_unidim,-14.7349441753541,2.45406982966757,0.359917977374787,0.201962355306576
s210,50,gcm,-1.356100324176,1.54979867313846,0.184122720270703,0.0636428188349336
s210,50,gcm_disc,-8.12007186490297,3.08238319207605,0.278979148120045,0.118392879054378
s210,50,gcm_disc_unidim,-17.4246934855833,5.74487952889622,0.396925097010331,0.266179473466551
s210,50,gcm_unidim,-16.9064008801057,5.01657333501949,0.37109861038663,0.255667136215865
s210,none,gcm,11.0614309523473,11086435572784.8,0.117768012899909,0.0219277437959285
s210,none,gcm_disc,-5.48784763447313,32417908394691.3,0.271663146552166,0.0925870047184956
s210,none,gcm_disc_unidim,-15.2011910426335,87551745233921,0.353116871721515,0.209749109473914
s210,none,gcm_unidim,-14.6346247234174,79040279382338.7,0.306141488709815,0.199823011514107
s211,50,gcm,4.0683031203702,26357501220646.1,0.169988183154197,0.0403622479993053
s211,50,gcm_disc,-8.71400191813725,54238383584782.3,0.311801244793872,0.126428875618701
s211,50,gcm_disc_unidim,-12.3239380670681,61375793101908.2,0.34269431307443,0.174082436457763
s211,50,gcm_unidim,-9.87891996562709,47737711702903.7,0.273083385200515,0.14121048699775
s211,none,gcm,16.254183848762,0.21659193508229,0.0966087330144985,0.0151680979812209
s211,none,gcm_disc,6.38945759357999,0.376162733466698,0.163761399334101,0.0345299661763645
s211,none,gcm_disc_unidim,-7.72681117421711,0.616287267669436,0.252399898037895,0.110762891300147
s211,none,gcm_unidim,-8.40431353341868,0.623770087420786,0.276663747098053,0.11735088634424
s212,50,gcm,-0.286295025887984,0.613952362269941,0.211310409920988,0.0589731975071089
s212,50,gcm_disc,2.20883934592606,0.595569723514817,0.153639564184901,0.0463637596280573
s212,50,gcm_disc_unidim,-6.59518333795305,0.906926659252459,0.250249312345596,0.0989106491848317
s212,50,gcm_unidim,-9.81014510315254,0.983934930607081,0.306959042292135,0.132120190395053
s212,none,gcm,3.63451729597456,0.333246624395078,0.180845814703764,0.043304748846765
s212,none,gcm_disc,20.9716431543719,0.125575324299832,0.0746211724028434,0.0101200776626672
s212,none,gcm_disc_unidim,3.62940497172813,0.284109159922381,0.172699526748364,0.0442481016512358
s212,none,gcm_unidim,-4.35793375848711,0.465763618005156,0.262738407207952,0.0844433113287516
s213,50,gcm,4.36736648833494,0.438869980766644,0.15978493248292,0.0398154552273729
s213,50,gcm_disc,-4.97759177047708,0.740477353009411,0.258675779379641,0.0891588288539087
s213,50,gcm_disc_unidim,-10.8993719885391,0.97163327283727,0.316446617273662,0.149987673409293
s213,50,gcm_unidim,-10.4865402051677,0.889013400468142,0.298654547731135,0.144092880972916
s213,none,gcm,10.0616389269263,0.383792684734667,0.122794459417451,0.024774254493819
s213,none,gcm_disc,-6.77559430939098,0.968219877280741,0.2923790189161,0.103484836596475
s213,none,gcm_disc_unidim,-12.334764577065,1.25530520157751,0.328409027126136,0.163138550234657
s213,none,gcm_unidim,-9.96883713549277,1.0110878825983,0.258208802704747,0.134155841401125
s214,50,gcm,-3.17862141224874,1.09089198331342,0.205225463478734,0.0737910333738668
s214,50,gcm_disc,-3.94774018411739,1.52258108473,0.215148964340988,0.082298983909168
s214,50,gcm_disc_unidim,-16.2378601251781,2.68734955328737,0.35024024253075,0.223930492313399
s214,50,gcm_unidim,-16.8581739081066,2.59359930084541,0.370550287126989,0.234140120050845
s214,none,gcm,-1.53405603848575,2.24475368052402,0.164502573000512,0.0641432644089332
s214,none,gcm_disc,9.91640479360689,4.75732381569302,0.120715922909074,0.0236615416819436
s214,none,gcm_disc_unidim,-13.8487591371301,9.0743553467263,0.29865095497656,0.192413160242951
s214,none,gcm_unidim,-14.4033174378457,6.45748646950655,0.292740560959786,0.200754334892118
s215,50,gcm,5.54816984214824,0.589920156298211,0.148013444741746,0.0328789904687865
s215,50,gcm_disc,0.51664355874218,0.785291945949267,0.1853933796294,0.0531142956271917
